"部門ID","商品コード","商品名","商品単価","グループコード","商品ID"
"1","4977444746619","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ<ﾅﾐﾌﾞﾄ> No. 61","580","ハマナカ","4977444746619"
"1","4977444689534","ﾊﾏﾅｶ ｿﾉﾓﾉﾙｰﾌﾟ No. 53","700","ハマナカ","4977444689534"
"1","4977444689527","ﾊﾏﾅｶ ｿﾉﾓﾉﾙｰﾌﾟ No. 52","700","ハマナカ","4977444689527"
"1","4977444689510","ﾊﾏﾅｶ ｿﾉﾓﾉﾙｰﾌﾟ No. 51","700","ハマナカ","4977444689510"
"1","4977444687851","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.135","330","ハマナカ","4977444687851"
"1","4977444687844","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.134","330","ハマナカ","4977444687844"
"1","4977444687837","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.133","330","ハマナカ","4977444687837"
"1","4977444687813","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.131","330","ハマナカ","4977444687813"
"1","4977444687790","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.129","330","ハマナカ","4977444687790"
"1","4977444687776","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.127","330","ハマナカ","4977444687776"
"1","4977444687769","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.126","330","ハマナカ","4977444687769"
"1","4977444687752","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.125","330","ハマナカ","4977444687752"
"1","4977444687745","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.124","330","ハマナカ","4977444687745"
"1","4977444687721","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.122","330","ハマナカ","4977444687721"
"1","4977444687707","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.120","330","ハマナカ","4977444687707"
"1","4977444687691","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.119","330","ハマナカ","4977444687691"
"1","4977444687684","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.118","330","ハマナカ","4977444687684"
"1","4977444687660","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.116","330","ハマナカ","4977444687660"
"1","4977444687653","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.115","330","ハマナカ","4977444687653"
"1","4977444687646","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.114","330","ハマナカ","4977444687646"
"1","4977444687639","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.113","330","ハマナカ","4977444687639"
"1","4977444687622","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.112","330","ハマナカ","4977444687622"
"1","4977444687615","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.111","330","ハマナカ","4977444687615"
"1","4977444687608","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.110","330","ハマナカ","4977444687608"
"1","4977444687592","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.109","330","ハマナカ","4977444687592"
"1","4977444687585","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.108","330","ハマナカ","4977444687585"
"1","4977444687578","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.107","330","ハマナカ","4977444687578"
"1","4977444687561","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.106","330","ハマナカ","4977444687561"
"1","4977444687554","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.105","330","ハマナカ","4977444687554"
"1","4977444687547","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.104","330","ハマナカ","4977444687547"
"1","4977444687530","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.103","330","ハマナカ","4977444687530"
"1","4977444687523","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.102","330","ハマナカ","4977444687523"
"1","4977444687516","ﾊﾏﾅｶ ﾗﾌﾞﾎﾞﾆｰ No.101","330","ハマナカ","4977444687516"
"1","4977444684683","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.118","670","ハマナカ","4977444684683"
"1","4977444684676","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.117","670","ハマナカ","4977444684676"
"1","4977444684669","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.116","670","ハマナカ","4977444684669"
"1","4977444684638","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.113","670","ハマナカ","4977444684638"
"1","4977444684621","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.112","670","ハマナカ","4977444684621"
"1","4977444684607","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.110","670","ハマナカ","4977444684607"
"1","4977444684591","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.109","670","ハマナカ","4977444684591"
"1","4977444684584","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.108","670","ハマナカ","4977444684584"
"1","4977444684553","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.105","670","ハマナカ","4977444684553"
"1","4977444684539","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.103","670","ハマナカ","4977444684539"
"1","4977444684522","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.102","670","ハマナカ","4977444684522"
"1","4977444684515","ﾊﾏﾅｶ ｵﾌｺｰｽ!ﾋﾞｯｸﾞ No.101","670","ハマナカ","4977444684515"
"1","4977444682498","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 49","580","ハマナカ","4977444682498"
"1","4977444682481","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 48","580","ハマナカ","4977444682481"
"1","4977444682474","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 47","580","ハマナカ","4977444682474"
"1","4977444682467","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 46","580","ハマナカ","4977444682467"
"1","4977444682450","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 45","580","ハマナカ","4977444682450"
"1","4977444682443","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 44","580","ハマナカ","4977444682443"
"1","4977444682436","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 43","580","ハマナカ","4977444682436"
"1","4977444682429","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 42","580","ハマナカ","4977444682429"
"1","4977444682412","ﾊﾏﾅｶ ｿﾉﾓﾉｱﾙﾊﾟｶｳｰﾙ No. 41","580","ハマナカ","4977444682412"
"1","4977444679153","ﾊﾏﾅｶ ｿﾉﾓﾉ<ﾁｮｳｺﾞｸﾌﾞﾄ> No. 15","630","ハマナカ","4977444679153"
"1","4977444679146","ﾊﾏﾅｶ ｿﾉﾓﾉ<ﾁｮｳｺﾞｸﾌﾞﾄ> No. 14","630","ハマナカ","4977444679146"
"1","4977444679139","ﾊﾏﾅｶ ｿﾉﾓﾉ<ﾁｮｳｺﾞｸﾌﾞﾄ> No. 13","630","ハマナカ","4977444679139"
"1","4977444679122","ﾊﾏﾅｶ ｿﾉﾓﾉ<ﾁｮｳｺﾞｸﾌﾞﾄ> No. 12","630","ハマナカ","4977444679122"
"1","4977444679115","ﾊﾏﾅｶ ｿﾉﾓﾉ<ﾁｮｳｺﾞｸﾌﾞﾄ> No. 11","630","ハマナカ","4977444679115"
"1","4977444679030","ﾊﾏﾅｶ ｿﾉﾓﾉ<ｱｲﾌﾞﾄ> No.  3","630","ハマナカ","4977444679030"
"1","4977444679023","ﾊﾏﾅｶ ｿﾉﾓﾉ<ｱｲﾌﾞﾄ> No.  2","630","ハマナカ","4977444679023"
"1","4977444679016","ﾊﾏﾅｶ ｿﾉﾓﾉ<ｱｲﾌﾞﾄ> No.  1","630","ハマナカ","4977444679016"
"1","4977444678057","ﾊﾏﾅｶ ｿﾉﾓﾉ<ｱｲﾌﾞﾄ> No.  5","630","ハマナカ","4977444678057"
"1","4977444678040","ﾊﾏﾅｶ ｿﾉﾓﾉ<ｱｲﾌﾞﾄ> No.  4","630","ハマナカ","4977444678040"
"1","4977444677432","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 43","520","ハマナカ","4977444677432"
"1","4977444677418","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 41","520","ハマナカ","4977444677418"
"1","4977444677401","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 40","520","ハマナカ","4977444677401"
"1","4977444677395","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 39","520","ハマナカ","4977444677395"
"1","4977444677388","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 38","520","ハマナカ","4977444677388"
"1","4977444677364","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 36","520","ハマナカ","4977444677364"
"1","4977444677340","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 34","520","ハマナカ","4977444677340"
"1","4977444677333","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 33","520","ハマナカ","4977444677333"
"1","4977444677326","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 32","520","ハマナカ","4977444677326"
"1","4977444677319","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 31","520","ハマナカ","4977444677319"
"1","4977444677302","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 30","520","ハマナカ","4977444677302"
"1","4977444677296","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 29","520","ハマナカ","4977444677296"
"1","4977444677289","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 28","520","ハマナカ","4977444677289"
"1","4977444677272","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 27","520","ハマナカ","4977444677272"
"1","4977444677265","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 26","520","ハマナカ","4977444677265"
"1","4977444677241","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 24","520","ハマナカ","4977444677241"
"1","4977444677227","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 22","520","ハマナカ","4977444677227"
"1","4977444677197","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 19","520","ハマナカ","4977444677197"
"1","4977444677180","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 18","520","ハマナカ","4977444677180"
"1","4977444677173","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 17","520","ハマナカ","4977444677173"
"1","4977444677128","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 12","520","ハマナカ","4977444677128"
"1","4977444677111","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 11","520","ハマナカ","4977444677111"
"1","4977444677104","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No. 10","520","ハマナカ","4977444677104"
"1","4977444677081","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No.  8","520","ハマナカ","4977444677081"
"1","4977444677050","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No.  5","520","ハマナカ","4977444677050"
"1","4977444677043","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No.  4","520","ハマナカ","4977444677043"
"1","4977444677036","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No.  3","520","ハマナカ","4977444677036"
"1","4977444677029","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No.  2","520","ハマナカ","4977444677029"
"1","4977444677012","ﾊﾏﾅｶ ｼﾞｭﾝﾓｳﾁｭｳﾎﾞｿ No.  1","520","ハマナカ","4977444677012"
"2","4977444675186","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 18","340","ハマナカ","4977444675186"
"2","4977444675162","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 16","340","ハマナカ","4977444675162"
"2","4977444675155","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 15","340","ハマナカ","4977444675155"
"2","4977444675148","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 14","340","ハマナカ","4977444675148"
"2","4977444675124","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 12","340","ハマナカ","4977444675124"
"2","4977444675117","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 11","340","ハマナカ","4977444675117"
"2","4977444675100","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 10","340","ハマナカ","4977444675100"
"2","4977444675094","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 9","340","ハマナカ","4977444675094"
"2","4977444675087","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 8","340","ハマナカ","4977444675087"
"2","4977444675070","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 7","340","ハマナカ","4977444675070"
"2","4977444675063","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 6","340","ハマナカ","4977444675063"
"2","4977444675056","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 5","340","ハマナカ","4977444675056"
"2","4977444675049","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 4","340","ハマナカ","4977444675049"
"2","4977444675032","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 3","340","ハマナカ","4977444675032"
"2","4977444675025","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 2","340","ハマナカ","4977444675025"
"2","4977444675018","ﾊﾏﾅｶ ｺｯﾄﾝﾉﾄｯｸ No. 1","340","ハマナカ","4977444675018"
"2","4977444671812","ﾊﾏﾅｶ ﾎﾟｰﾑ<ﾑｸﾜﾀ>ｽｰﾋﾟﾏ No. 81","390","ハマナカ","4977444671812"
